code,year,age,asfr,source
ALB,1958,28,0.29734,hfc
ALB,1958,29,0.29475,hfc
ALB,1958,30,0.29161,hfc
ALB,1958,31,0.28777,hfc
ALB,1958,32,0.28284,hfc
ALB,1958,33,0.27627,hfc
ALB,1958,34,0.2675,hfc
ALB,1958,35,0.25605,hfc
ALB,1958,36,0.2416,hfc
ALB,1958,37,0.2241,hfc
ALB,1958,38,0.20381,hfc
ALB,1958,39,0.1813,hfc
ALB,1958,40,0.1574,hfc
ALB,1958,41,0.1331,hfc
ALB,1958,42,0.10944,hfc
ALB,1958,43,0.08736,hfc
ALB,1958,44,0.06761,hfc
ALB,1958,45,0.05065,hfc
ALB,1958,46,0.0367,hfc
ALB,1958,47,0.02567,hfc
ALB,1958,48,0.01733,hfc
ALB,1958,49,0.01624,hfc
ALB,1958,50,0.01145,hfc
ALB,1959,14,5.1e-4,hfc
ALB,1959,15,0.0043,hfc
ALB,1959,16,0.01739,hfc
ALB,1959,17,0.04607,hfc
ALB,1959,18,0.08995,hfc
ALB,1959,19,0.14186000000000001,hfc
ALB,1959,20,0.19258,hfc
ALB,1959,21,0.23531,hfc
ALB,1959,22,0.26708,hfc
ALB,1959,23,0.288,hfc
ALB,1959,24,0.29988,hfc
ALB,1959,25,0.30508,hfc
ALB,1959,26,0.30579,hfc
ALB,1959,27,0.30375,hfc
ALB,1959,28,0.30014,hfc
ALB,1959,29,0.29563,hfc
ALB,1959,30,0.29046,hfc
ALB,1959,31,0.28458,hfc
ALB,1959,32,0.27766,hfc
ALB,1959,33,0.26931,hfc
ALB,1959,34,0.25905,hfc
ALB,1959,35,0.24652,hfc
ALB,1959,36,0.23149,hfc
ALB,1959,37,0.21395,hfc
ALB,1959,38,0.19415,hfc
ALB,1959,39,0.17259,hfc
ALB,1959,40,0.14998,hfc
ALB,1959,41,0.12717,hfc
ALB,1959,42,0.10503,hfc
ALB,1959,43,0.08436,hfc
ALB,1959,44,0.06581,hfc
ALB,1959,45,0.0498,hfc
ALB,1959,46,0.0365,hfc
ALB,1959,47,0.02589,hfc
ALB,1959,48,0.01774,hfc
ALB,1959,49,0.01723,hfc
ALB,1959,50,0.01249,hfc
ALB,1960,14,5.8e-4,hfc
ALB,1960,15,0.00477,hfc
ALB,1960,16,0.01859,hfc
ALB,1960,17,0.04849,hfc
ALB,1960,18,0.09399,hfc
ALB,1960,19,0.14771,hfc
ALB,1960,20,0.20007,hfc
ALB,1960,21,0.24382,hfc
ALB,1960,22,0.27566,hfc
ALB,1960,23,0.29559,hfc
ALB,1960,24,0.3055,hfc
ALB,1960,25,0.30794,hfc
ALB,1960,26,0.30538,hfc
ALB,1960,27,0.29986,hfc
ALB,1960,28,0.29285,hfc
ALB,1960,29,0.28533,hfc
ALB,1960,30,0.27784,hfc
ALB,1960,31,0.27059,hfc
ALB,1960,32,0.26352,hfc
ALB,1960,33,0.25639,hfc
ALB,1960,34,0.24885,hfc
ALB,1960,35,0.2405,hfc
ALB,1960,36,0.23095,hfc
ALB,1960,37,0.21988,hfc
ALB,1960,38,0.20707,hfc
ALB,1960,39,0.19246,hfc
ALB,1960,40,0.17617,hfc
ALB,1960,41,0.15851,hfc
ALB,1960,42,0.13991,hfc
ALB,1960,43,0.12095,hfc
ALB,1960,44,0.10226,hfc
ALB,1960,45,0.08442,hfc
ALB,1960,46,0.06797,hfc
ALB,1960,47,0.05331,hfc
ALB,1960,48,0.04069,hfc
ALB,1960,49,0.05105,hfc
ALB,1960,50,0.04334,hfc
ALB,1961,14,2.8e-4,hfc
ALB,1961,15,0.00265,hfc
ALB,1961,16,0.0141,hfc
ALB,1961,17,0.04278,hfc
ALB,1961,18,0.08974,hfc
ALB,1961,19,0.14641,hfc
ALB,1961,20,0.20104,hfc
ALB,1961,21,0.24514,hfc
ALB,1961,22,0.27538,hfc
ALB,1961,23,0.2924,hfc
ALB,1961,24,0.29883,hfc
ALB,1961,25,0.2978,hfc
ALB,1961,26,0.29215,hfc
ALB,1961,27,0.28406,hfc
ALB,1961,28,0.27508,hfc
ALB,1961,29,0.26622,hfc
ALB,1961,30,0.25799,hfc
ALB,1961,31,0.25058,hfc
ALB,1961,32,0.24393,hfc
ALB,1961,33,0.23778,hfc
ALB,1961,34,0.23172,hfc
ALB,1961,35,0.22527,hfc
ALB,1961,36,0.2179,hfc
ALB,1961,37,0.2091,hfc
ALB,1961,38,0.19845,hfc
ALB,1961,39,0.18566,hfc
ALB,1961,40,0.17066,hfc
ALB,1961,41,0.15361,hfc
ALB,1961,42,0.13495,hfc
ALB,1961,43,0.11532,hfc
ALB,1961,44,0.09555,hfc
ALB,1961,45,0.0765,hfc
ALB,1961,46,0.059,hfc
ALB,1961,47,0.04368,hfc
ALB,1961,48,0.03094,hfc
ALB,1961,49,0.0303,hfc
ALB,1961,50,0.02137,hfc
ALB,1962,14,0,hfc
ALB,1962,15,2e-5,hfc
ALB,1962,16,0.00166,hfc
ALB,1962,17,0.01804,hfc
ALB,1962,18,0.0683,hfc
ALB,1962,19,0.14212,hfc
ALB,1962,20,0.21027,hfc
ALB,1962,21,0.25613,hfc
ALB,1962,22,0.27948,hfc
ALB,1962,23,0.28708,hfc
ALB,1962,24,0.28585,hfc
ALB,1962,25,0.28063,hfc
ALB,1962,26,0.27414,hfc
ALB,1962,27,0.2676,hfc
ALB,1962,28,0.26133,hfc
ALB,1962,29,0.25525,hfc
ALB,1962,30,0.24907,hfc
ALB,1962,31,0.24254,hfc
ALB,1962,32,0.23551,hfc
ALB,1962,33,0.22791,hfc
ALB,1962,34,0.21979,hfc
ALB,1962,35,0.21123,hfc
ALB,1962,36,0.20229,hfc
ALB,1962,37,0.19298,hfc
ALB,1962,38,0.1832,hfc
ALB,1962,39,0.17274,hfc
ALB,1962,40,0.16127,hfc
ALB,1962,41,0.14839,hfc
ALB,1962,42,0.1338,hfc
ALB,1962,43,0.11736,hfc
ALB,1962,44,0.09927,hfc
ALB,1962,45,0.08019,hfc
ALB,1962,46,0.0612,hfc
ALB,1962,47,0.04361,hfc
ALB,1962,48,0.02863,hfc
ALB,1962,49,0.0212,hfc
ALB,1962,50,0.01185,hfc
ALB,1963,14,0,hfc
ALB,1963,15,0,hfc
ALB,1963,16,9e-5,hfc
ALB,1963,17,0.00602,hfc
ALB,1963,18,0.04941,hfc
ALB,1963,19,0.13981,hfc
ALB,1963,20,0.2275,hfc
ALB,1963,21,0.27871,hfc
ALB,1963,22,0.29651,hfc
ALB,1963,23,0.29585,hfc
ALB,1963,24,0.28862,hfc
ALB,1963,25,0.28107,hfc
ALB,1963,26,0.27537,hfc
ALB,1963,27,0.27142,hfc
ALB,1963,28,0.26813,hfc
ALB,1963,29,0.2642,hfc
ALB,1963,30,0.25858,hfc
ALB,1963,31,0.25071,hfc
ALB,1963,32,0.24054,hfc
ALB,1963,33,0.22849,hfc
ALB,1963,34,0.21527,hfc
ALB,1963,35,0.20172,hfc
ALB,1963,36,0.18862,hfc
ALB,1963,37,0.17658,hfc
ALB,1963,38,0.16588,hfc
ALB,1963,39,0.15643,hfc
ALB,1963,40,0.14773,hfc
ALB,1963,41,0.13884,hfc
ALB,1963,42,0.12858,hfc
ALB,1963,43,0.11576,hfc
ALB,1963,44,0.09969,hfc
